0,1,2,3,4
0.0,0.00012875714733729475,0.00016109260283641089,6.849661844779798e-05,3.9675983736175116e-05
2.177592695049302e-06,5.5041223289225235e-05,8.464187606658877e-05,1.3699323689559598e-05,2.267199070638578e-05
4.355185390098604e-06,0.00010287466733819477,3.276459718706662e-05,0.00010502814828662358,0.0001246959488851218
6.532778085147906e-06,7.338829771896697e-05,9.556340846227765e-05,4.109797106867879e-05,1.133599535319289e-05
8.710370780197208e-06,8.256183493383785e-05,0.00012286723945149983,2.2832206149265994e-05,3.9675983736175116e-05
1.088796347524651e-05,0.00017429720708254657,0.0001802052845288664,0.00011416103074632997,5.101197908936801e-05
1.3065556170295812e-05,1.113929518948606e-05,2.184306479137775e-05,0.0,5.667997676596445e-06
1.5243148865345115e-05,7.797506632640242e-05,6.0068428176288806e-05,7.306305967765118e-05,1.7003993029789335e-05
1.7420741560394416e-05,0.0001366201792357555,0.00014197992114395536,9.589526582691718e-05,5.101197908936801e-05
1.959833425544372e-05,2.4244348353587306e-05,3.276459718706662e-05,1.3699323689559598e-05,5.667997676596445e-06
2.177592695049302e-05,0.00015201861670357446,0.00012559762255042205,9.589526582691718e-05,0.00013603194423831468
2.395351964554232e-05,0.000162830285563958,0.0001337887718471887,0.00014155967812544916,5.101197908936801e-05
2.6131112340591624e-05,3.898753316320121e-05,4.36861295827555e-05,2.7398647379119195e-05,1.133599535319289e-05
2.8308705035640926e-05,8.51828455666581e-05,0.00011194570705581095,3.196508860897239e-05,5.101197908936801e-05
3.048629773069023e-05,6.093849721307079e-05,7.37203436708999e-05,3.653152983882559e-05,1.133599535319289e-05
3.266389042573953e-05,0.00020640458733459463,0.00015563183663856646,0.00013699323689559596,0.0001870439233276827
3.484148312078883e-05,0.0001251532577171669,0.0002238914141116219,9.132882459706398e-06,5.101197908936801e-05
3.701907581583814e-05,7.011203442794167e-05,9.283302536335543e-05,3.653152983882559e-05,1.133599535319289e-05
3.919666851088744e-05,2.3589095695382242e-05,3.276459718706662e-05,9.132882459706398e-06,1.133599535319289e-05
4.1374261205936736e-05,6.224900252948092e-05,0.00011194570705581095,9.132882459706398e-06,1.7003993029789335e-05
4.355185390098604e-05,1.9002327087946807e-05,1.0921532395688874e-05,2.2832206149265994e-05,0.0
4.572944659603534e-05,7.207779240255685e-05,7.098996057197768e-05,4.566441229853199e-05,4.534398141277156e-05
4.790703929108464e-05,0.0001228598734134492,0.0001365191549461109,8.219594213735759e-05,3.9675983736175116e-05
5.008463198613395e-05,2.621010632820249e-05,2.4573447890299966e-05,1.8265764919412796e-05,1.133599535319289e-05
5.226222468118325e-05,8.387234025024798e-05,9.283302536335543e-05,5.023085352838519e-05,3.400798605957867e-05
5.443981737623255e-05,0.0001536567483490871,5.1877278879522155e-05,0.00016895832550456837,9.635596050213957e-05
5.661741007128185e-05,0.0001094271939202454,6.0068428176288806e-05,8.219594213735759e-05,0.0001133599535319289
5.879500276633115e-05,0.00013334391594473018,0.00019931796622132196,5.479729475823839e-05,2.8339988382982224e-05
6.315018815642976e-05,5.242021265640498e-05,6.279881127521102e-05,3.196508860897239e-05,1.7003993029789335e-05
6.532778085147906e-05,4.554005974525183e-05,3.276459718706662e-05,1.8265764919412796e-05,7.368396979575379e-05
6.750537354652836e-05,5.0782081010892326e-05,4.914689578059993e-05,4.109797106867879e-05,1.133599535319289e-05
6.968296624157766e-05,0.00030272672809073876,0.0004395916789264772,0.00014612611935530236,3.400798605957867e-05
7.186055893662697e-05,4.619531240345689e-05,4.914689578059993e-05,2.2832206149265994e-05,3.9675983736175116e-05
7.403815163167628e-05,7.568168202268469e-05,6.279881127521102e-05,6.393017721794478e-05,2.267199070638578e-05
7.621574432672557e-05,2.3916722024484773e-05,2.7303830989222186e-06,2.7398647379119195e-05,1.7003993029789335e-05
7.839333702177487e-05,7.306067138986445e-05,8.191149296766656e-05,4.109797106867879e-05,2.8339988382982224e-05
8.057092971682418e-05,7.46988030353771e-05,0.00010375455775904431,2.2832206149265994e-05,3.9675983736175116e-05
8.274852241187347e-05,5.5696475947430295e-05,4.914689578059993e-05,4.566441229853199e-05,1.133599535319289e-05
8.492611510692278e-05,0.00013825831088126815,0.00012559762255042205,7.762950090750438e-05,0.00013036394656171823
8.928130049702138e-05,5.1437333669097386e-05,6.825957747305546e-05,2.7398647379119195e-05,1.133599535319289e-05
9.145889319207068e-05,7.46988030353771e-05,9.283302536335543e-05,3.653152983882559e-05,3.400798605957867e-05
9.363648588711999e-05,0.00018052210733549465,0.00011467609015473318,0.00013242679566574276,0.0001757079279744898
9.581407858216928e-05,0.00015070811138716432,9.283302536335543e-05,0.00011416103074632997,0.00014169994191491113
9.799167127721859e-05,5.6351728605635355e-05,7.645072676982211e-05,2.2832206149265994e-05,2.267199070638578e-05
