Unnamed: 0,Cuisine,Dish Name,Ingredients,Calories,Carbs,Fat,Protein,Recipe_url
788, Chinese,Szechuan Beef,sirloin steak cut bite size strip soy sauce cornstarch pepper garlic vegetable oil broccoli floret onion cut wedge water chestnut chicken broth peanut,306,13,21,18,https://www.allrecipes.com/recipe/20095/szechuan-beef/
789, Chinese,"Super-Simple, Super-Spicy Mongolian Beef",soy sauce hoisin sauce sesame oil sugar garlic pepper flake beef flank steak peanut oil onion,200,8,12,15,https://www.allrecipes.com/recipe/148831/super-simple-super-spicy-mongolian-beef/
790, Chinese,Beef with Vegetables,beef filet cut inch strip vegetable oil onion garlic ginger root bell pepper carrot beef broth cornstarch sugar soy sauce oyster sauce salt pepper,267,9,20,12,https://www.allrecipes.com/recipe/16254/beef-with-vegetables/
791, Chinese,Slow Cooker Mongolian Beef,flank steak cut bite-size piece cornstarch oil onion garlic onion inch piece soy sauce water brown sugar ginger root hoisin sauce,450,55,13,28,https://www.allrecipes.com/recipe/195083/slow-cooker-mongolian-beef/
792, Chinese,Black Pepper Beef and Cabbage Stir Fry,vegetable oil garlic ground beef cabbage bell pepper cut strip soy sauce cornstarch cold water ground pepper salt,280,10,22,12,https://www.allrecipes.com/recipe/50233/black-pepper-beef-and-cabbage-stir-fry/
793, Chinese,Grilled Hoisin Beef,beef skirt steak hoisin sauce vinegar soy sauce sauce sesame oil ginger root garlic packed brown sugar salt ground pepper onion light part sesame seed,404,33,16,30,https://www.allrecipes.com/recipe/258215/grilled-hoisin-beef/
794, Chinese,Spicy Crispy Beef,cornstarch salt pepper flank steak oil soy sauce rice vinegar rice wine honey sugar chile paste water ginger root vegetable oil garlic onion bell pepper,489,41,32,11,https://www.allrecipes.com/recipe/23420/spicy-crispy-beef/
795, Chinese,Beef Lo Mein,spaghetti dark sesame oil peanut oil garlic ginger root vegetable flank steak reduced-sodium soy sauce brown sugar oyster sauce chile paste garlic,519,73,15,26,https://www.allrecipes.com/recipe/231381/beef-lo-mein/
796, Chinese,Flavorful Beef Stir-Fry,brown rice water cornstarch sugar soy sauce wine ginger boneless beef round steak cut thin strip vegetable oil broccoli floret carrot frozen pea pod thawed onion water chestnut cabbage bok choy vegetable oil,665,105,14,31,https://www.allrecipes.com/recipe/223389/flavorful-beef-stir-fry/
797, Chinese,Bitter Melon and Black Bean Sauce Beef,ice cube bitter melon soy sauce cornstarch baking soda beef oil oil onion garlic ginger bean sauce oyster sauce sugar water water salt,141,8,9,8,https://www.allrecipes.com/recipe/254527/bitter-melon-and-black-bean-sauce-beef/
798, Chinese,Asian Beef with Snow Peas,soy sauce rice wine brown sugar cornstarch vegetable oil ginger root garlic beef round steak cut thin strip snow pea,203,10,10,16,https://www.allrecipes.com/recipe/15679/asian-beef-with-snow-peas/
799, Chinese,Potstickers (Chinese Dumplings),raw shrimp ground beef ginger root shallot onion napa cabbage soy sauce sesame oil salt pepper sugar round gyoza potsticker wrapper vegetable oil water,411,16,22,35,https://www.allrecipes.com/recipe/202975/potstickers-chinese-dumplings/
800, Chinese,Asian Fire Meat,soy sauce sesame oil brown sugar garlic onion ground pepper pepper flake sesame seed leek carrot beef round steak paper thin,382,22,21,27,https://www.allrecipes.com/recipe/37965/asian-fire-meat/
801, Chinese,Mongolian Beef I,sesame seed soy sauce cornstarch garlic beef round steak cut thin strip water soy sauce cornstarch sugar pepper flake vegetable oil carrot onion cut inch piece,155,9,9,11,https://www.allrecipes.com/recipe/22625/mongolian-beef-i/
802, Chinese,Orange Peel Beef,beef top sirloin low-sodium soy sauce cornstarch dark sesame oil baking soda low-sodium soy sauce frozen orange juice concentrate thawed rice vinegar dark sesame oil brown sugar cornstarch peanut oil garlic ginger root orange zest pepper flake,189,8,8,21,https://www.allrecipes.com/recipe/148647/orange-peel-beef/
803, Chinese,Beefy Chinese Dumplings,ground beef cabbage carrot onion egg soy sauce vegetable oil sugar salt wonton wrapper,356,25,21,16,https://www.allrecipes.com/recipe/87535/beefy-chinese-dumplings/
805, Chinese,Szechuan Spicy Eggplant,eggplant soy sauce chicken stock oyster sauce chili sauce sugar ground pepper water cornstarch cooking spray onion ginger root garlic lean ground beef shrimp sesame oil cooked rice,441,62,13,20,https://www.allrecipes.com/recipe/18792/szechuan-spicy-eggplant/
806, Chinese,Hot and Tangy Broccoli Beef,boneless tender beef steak rib eye sirloin flank cornstarch kikkoman soy sauce garlic sugar broccoli cornstarch pepper vegetable oil onion kikkoman rice vinegar,263,16,16,15,https://www.allrecipes.com/recipe/86410/hot-and-tangy-broccoli-beef/
807, Chinese,Spicy Orange Zest Beef,beef tenderloin cut inch strip orange juice rice vinegar soy sauce chile paste brown sugar garlic water cornstarch cooking spray orange zest onion part top salt ground pepper,267,17,14,19,https://www.allrecipes.com/recipe/221127/spicy-orange-zest-beef/
808, Chinese,Jamey's Restaurant Style Beef and Broccoli,dry sherry oyster sauce sesame oil soy sauce sugar cornstarch beef sirloin steak cut slice vegetable oil thin slice ginger root garlic broccoli cut floret mushroom snow pea,446,23,23,37,https://www.allrecipes.com/recipe/234070/jameys-restaurant-style-beef-and-broccoli/
809, Chinese,Beef and Riced Broccoli Bowl,beef broth hoisin sauce reduced-sodium soy sauce sesame oil oyster sauce cornstarch brown sugar york strip steak piece butter frozen broccoli rice garlic salt ground pepper sesame seed pepper flake,452,21,25,37,https://www.allrecipes.com/recipe/277230/beef-and-riced-broccoli-bowl/
810, Chinese,Mongolian Beef II,boneless sirloin tip roast soy sauce dry sherry sesame oil cornstarch brown sugar pepper chile pepper vegetable oil onion cut inch piece,349,16,22,22,https://www.allrecipes.com/recipe/26627/mongolian-beef-ii/
811, Chinese,Fun Karnal (Beef and Broccoli),york strip steak cut piece onion garlic soy sauce rice water vegetable oil bamboo shoot mushroom onion bell pepper pepper flake soy sauce broccoli floret sugar snap pea cornstarch water oyster sauce onion,639,87,19,28,https://www.allrecipes.com/recipe/229242/fun-karnal-beef-and-broccoli/
812, Chinese,Spicy Beef Filet in Oyster Sauce,vegetable oil oyster sauce cornstarch beef tenderloin cut inch strip water cornstarch oyster sauce sugar pepper vegetable oil onion,202,4,15,13,https://www.allrecipes.com/recipe/161117/spicy-beef-filet-in-oyster-sauce/
813, Chinese,Chicken in Black Bean Sauce,cornstarch water light soy sauce sugar salt boneless chicken breast half bean sprout,266,9,8,38,https://www.allrecipes.com/recipe/246187/chicken-in-garlic-and-black-bean-sauce/
814, Chinese,Asian Orange Chicken,water rice vinegar lemon juice soy sauce orange juice packed brown sugar onion orange zest ginger root garlic pepper flake cornstarch water,445,69,11,18,https://www.allrecipes.com/recipe/61024/asian-orange-chicken/
815, Chinese,Kung Pao Chicken,cornstarch tablespoon water wine soy sauce sesame oil boneless chicken breast half cut chunk chile paste brown sugar vinegar water chestnut peanut onion garlic,437,25,23,34,https://www.allrecipes.com/recipe/9027/kung-pao-chicken/
816, Chinese,Grilled Asian Chicken,soy sauce honey sesame oil garlic ginger root boneless chicken breast half,217,11,8,26,https://www.allrecipes.com/recipe/8919/grilled-asian-chicken/
817, Chinese,General Tao Chicken,boneless chicken breast half cut bite-size piece cornstarch egg salt ground pepper flour baking powder vegetable oil,522,35,27,35,https://www.allrecipes.com/recipe/146579/general-tao-chicken/
818, Chinese,Moo Shu Chicken,cold water sesame oil cornstarch chicken breast tenderloin cut thin strip hoisin sauce oyster sauce soy sauce vegetable oil egg beaten cabbage coleslaw mix shiitake mushroom garlic sherry onion,319,17,14,30,https://www.allrecipes.com/recipe/273598/moo-shu-chicken/
819, Chinese,"Velveting Chicken Breast, Chinese Restaurant Style",egg rice vinegar cornstarch kosher salt boneless chicken breast water peanut oil,156,2,6,23,https://www.allrecipes.com/recipe/261452/velveting-chicken-breast-chinese-restaurant-style/
820, Chinese,Chinese Chicken Fried Rice,egg water butter vegetable oil onion cooked rice cold cooked chicken meat soy sauce ground pepper,255,26,10,14,https://www.allrecipes.com/recipe/16954/chinese-chicken-fried-rice-ii/
821, Chinese,Chinese Chicken Fried Rice,sesame oil onion cooked cubed chicken meat soy sauce carrot celery bell pepper pea pod bell pepper cooked rice egg soy sauce,425,48,10,35,https://www.allrecipes.com/recipe/17161/chinese-chicken-fried-rice-i/
822, Chinese,Bang Bang Chicken,milk egg boneless chicken breat cut cube potato starch flour salt ground pepper shichimi togarahi oil mayonnaise honey sweet chili sauce gochujang,404,27,21,27,https://www.allrecipes.com/recipe/273785/bang-bang-chicken/
823, Chinese,Moo Goo Gai Pan,vegetable oil broccoli floret mushroom straw mushroom bamboo shoot water chestnut garlic boneless chicken breast cut strip chicken broth cornstarch sugar soy sauce oyster sauce rice wine,307,23,10,34,https://www.allrecipes.com/recipe/165846/moo-goo-gai-pan/
824, Chinese,Asian Chicken Salad,vegetable oil rice vinegar brown sugar sesame oil soy sauce,414,39,18,23,https://www.allrecipes.com/recipe/14252/asian-chicken-salad/
825, Chinese,Easy Fried Chinese Chicken Balls,flour baking powder salt sesame oil water vegetable oil,338,34,10,27,https://www.allrecipes.com/recipe/262501/easy-fried-chinese-chicken-balls/
826, Chinese,Ten Minute Szechuan Chicken,boneless chicken breast cut cube cornstarch vegetable oil garlic low-sodium soy sauce wine vinegar water sugar onion inch piece cayenne pepper,206,10,5,29,https://www.allrecipes.com/recipe/49014/ten-minute-szechuan-chicken/
827, Chinese,Cantonese Chicken Chow Mein,water rice wine vinegar soy sauce cornstarch sesame oil ground pepper boneless chicken breast half,517,60,23,20,https://www.allrecipes.com/recipe/244606/cantonese-chicken-chow-mein/
828, Chinese,Chicken and Snow Peas,chicken broth soy sauce cornstarch ground ginger vegetable oil boneless chicken breast half cubed garlic mushroom water chestnut snow pea sesame seed,315,17,10,38,https://www.allrecipes.com/recipe/202469/chicken-and-snow-peas/
829, Chinese,Chicken and Chinese Vegetable Stir-Fry,boneless chicken breast meat cut bite-size piece oyster sauce soy sauce vegetable oil garlic onion water ground pepper sugar water chestnut snow pea broccoli cut floret cornstarch water,217,17,9,18,https://www.allrecipes.com/recipe/103218/chicken-and-chinese-vegetable-stir-fry/
